time,belpex,solar,wind,load
2021-01-07 14:00:00,83.57,73.465,1578.8325,11876.6025
2021-01-07 15:00:00,89.68,15.0675,1696.915,12026.785
2021-01-07 16:00:00,100.0,0.0,1686.7375,12641.2075
2021-01-07 17:00:00,73.08,0.0,1793.4775,12560.05
2021-01-07 18:00:00,54.78,0.0,1860.3175,12030.25
2021-01-07 19:00:00,51.39,0.0,1776.5575,11438.2975
2021-01-07 20:00:00,50.66,0.0,1628.9525,10903.8975
2021-01-07 21:00:00,53.05,0.0,1427.37,11006.4475
2021-01-07 22:00:00,45.15,0.0,1343.8975,10966.255
2021-01-07 23:00:00,46.59,0.0,1050.9425,10936.785
2021-01-08 00:00:00,43.9,0.0,991.105,10710.21
2021-01-08 01:00:00,40.0,0.0,1077.2075,10251.1525
2021-01-08 02:00:00,40.0,0.0,1125.59,10086.255
2021-01-08 03:00:00,44.51,0.0,1109.79,10048.845
2021-01-08 04:00:00,48.8,0.0,1088.865,10398.9825
2021-01-08 05:00:00,55.41,0.0,922.23,11435.6125
2021-01-08 06:00:00,71.92,0.0,791.715,12331.62
2021-01-08 07:00:00,103.54,1.2525,808.055,12691.5725
2021-01-08 08:00:00,110.45,50.095,921.9825,12789.32
2021-01-08 09:00:00,109.96,138.06,965.155,12617.845
2021-01-08 10:00:00,106.82,226.9225,781.7275,12577.1375
2021-01-08 11:00:00,102.37,299.975,676.5125,12348.6925
2021-01-08 12:00:00,97.61,276.28,401.3675,12399.5025
2021-01-08 13:00:00,95.0,212.81,143.32,12230.5375
2021-01-08 14:00:00,95.42,118.3725,151.9,12222.2625
2021-01-08 15:00:00,95.0,25.17,365.225,12152.0475
2021-01-08 16:00:00,110.0,0.0,323.3275,12666.5975
2021-01-08 17:00:00,118.8,0.0,282.595,12667.5875
2021-01-08 18:00:00,114.89,0.0,189.635,12259.7275
2021-01-08 19:00:00,88.06,0.0,87.2275,11740.33
2021-01-08 20:00:00,78.5,0.0,34.09,11136.2525
2021-01-08 21:00:00,70.0,0.0,16.6375,11178.555
2021-01-08 22:00:00,84.43,0.0,0.8025,11128.04
2021-01-08 23:00:00,67.69,0.0,5.2075,10274.605
2021-01-09 00:00:00,53.34,0.0,4.575,9761.115
2021-01-09 01:00:00,52.68,0.0,6.7625,9380.0525
2021-01-09 02:00:00,52.81,0.0,73.53,9116.99
2021-01-09 03:00:00,50.47,0.0,128.595,8955.7775
2021-01-09 04:00:00,51.33,0.0,110.9175,9083.5975
2021-01-09 05:00:00,53.04,0.0,38.2025,9348.4125
2021-01-09 06:00:00,57.26,0.0,8.725,9673.455
2021-01-09 07:00:00,59.8,2.59,3.31,10270.9
2021-01-09 08:00:00,66.92,112.2725,38.4175,10691.84
2021-01-09 09:00:00,67.71,342.27,84.3325,10990.4225
2021-01-09 10:00:00,68.0,540.3125,18.5575,11121.2975
2021-01-09 11:00:00,67.01,647.985,101.5375,11106.165
2021-01-09 12:00:00,62.53,642.98,80.2275,10913.935
2021-01-09 13:00:00,60.0,509.01,151.0825,10757.6225
2021-01-09 14:00:00,60.0,277.4275,302.365,10719.88
2021-01-09 15:00:00,62.78,60.3725,156.4625,10856.5125
2021-01-09 16:00:00,69.92,0.0,186.6425,11453.2775
2021-01-09 17:00:00,71.99,0.0,56.48,11560.1275
2021-01-09 18:00:00,68.95,0.0,3.3,11094.7125
2021-01-09 19:00:00,62.66,0.0,21.275,10514.6775
2021-01-09 20:00:00,61.27,0.0,28.9125,10086.44
2021-01-09 21:00:00,57.2,0.0,33.1675,10122.6025
2021-01-09 22:00:00,58.67,0.0,82.9925,10124.69
2021-01-09 23:00:00,58.89,0.0,266.78,9803.6275
2021-01-10 00:00:00,59.39,0.0,282.715,8408.5025
2021-01-10 01:00:00,55.48,0.0,312.1125,8015.4725
2021-01-10 02:00:00,50.0,0.0,378.0125,7747.025
2021-01-10 03:00:00,49.24,0.0,372.955,7641.985
2021-01-10 04:00:00,50.43,0.0,320.6725,7715.8525
2021-01-10 05:00:00,56.92,0.0,274.505,7927.3875
2021-01-10 06:00:00,54.27,0.0,306.6075,8086.535
2021-01-10 07:00:00,52.69,2.745,250.1025,8505.835
2021-01-10 08:00:00,59.6,115.1775,209.85,8922.385
2021-01-10 09:00:00,64.49,337.4775,192.5625,9441.05
2021-01-10 10:00:00,66.8,514.865,190.305,9836.1275
2021-01-10 11:00:00,65.92,589.67,275.265,10125.2525
2021-01-10 12:00:00,59.79,547.3475,316.2075,10023.6175
2021-01-10 13:00:00,53.18,405.3875,357.225,9781.685
2021-01-10 14:00:00,54.85,235.3625,363.095,9715.3025
2021-01-10 15:00:00,56.52,54.455,326.86,9877.4075
2021-01-10 16:00:00,62.09,0.0,326.395,10711.605
2021-01-10 17:00:00,66.39,0.0,328.8175,10802.66
2021-01-10 18:00:00,87.18,0.0,340.4575,10583.375
2021-01-10 19:00:00,70.42,0.0,483.3325,10026.5175
2021-01-10 20:00:00,61.02,0.0,553.0025,9584.6825
2021-01-10 21:00:00,61.11,0.0,589.8,9609.0325
2021-01-10 22:00:00,78.69,0.0,713.695,9584.875
2021-01-10 23:00:00,69.33,0.0,545.3475,9488.4075
2021-01-11 00:00:00,60.26,0.0,712.9425,9480.7425
2021-01-11 01:00:00,55.75,0.0,1029.905,9188.75
2021-01-11 02:00:00,47.3,0.0,1062.6425,9017.26
2021-01-11 03:00:00,45.53,0.0,1244.1125,9071.94
2021-01-11 04:00:00,47.9,0.0,1617.4375,9532.02
2021-01-11 05:00:00,67.92,0.0,1579.945,10603.125
2021-01-11 06:00:00,84.36,0.0,1527.48,11578.77
2021-01-11 07:00:00,64.08,2.3525,1597.52,12225.88
2021-01-11 08:00:00,114.43,79.205,1628.045,12353.83
2021-01-11 09:00:00,79.9,230.8175,1764.2575,12398.8475
2021-01-11 10:00:00,65.0,345.86,1935.675,12407.355
2021-01-11 11:00:00,47.8,382.8425,2034.85,12194.8125
2021-01-11 12:00:00,41.25,356.84,2097.81,12209.615
2021-01-11 13:00:00,47.3,274.5225,2119.8675,12134.77
2021-01-11 14:00:00,47.8,152.9425,2140.09,12158.8925
2021-01-11 15:00:00,50.0,35.765,2166.465,12338.815
2021-01-11 16:00:00,93.05,0.0,2166.3775,12843.165
